ND_ID;Assembly Accession;Annotation Count Gene Non-coding;Annotation Count Gene Protein-coding
ND_NC2427;GCA_044731965.1;90;4176
ND_NC2428;GCA_044731975.1;86;4119
ND_NC2429;GCA_044732005.1;87;4007
ND_NC2430;GCA_044732025.1;90;4284
ND_NC2431;GCA_044732045.1;88;4302
ND_NC2432;GCA_044732065.1;91;4278
ND_NC2433;GCA_044732085.1;91;4008
ND_NC2434;GCA_044732105.1;88;4247
ND_NC2435;GCA_044732145.1;88;4024
ND_NC2436;GCA_044732165.1;91;4275
ND_NC2437;GCA_044732185.1;93;4332
ND_NC2438;GCA_044732205.1;91;4234
ND_NC2439;GCA_044732225.1;89;4198
ND_NC2440;GCA_044732245.1;93;4285
ND_NC2441;GCA_044732265.1;95;4441
ND_NC2442;GCA_044732305.1;96;4474
ND_NC2443;GCA_044732325.1;90;4082
ND_NC2444;GCA_044732345.1;91;4241
ND_NC2445;GCA_044732365.1;94;4323
ND_NC2446;GCA_044732385.1;88;4284
ND_NC2447;GCA_044732405.1;89;4274
ND_NC2448;GCA_044732425.1;89;4222
ND_NC2449;GCA_044732445.1;89;4203
ND_NC2450;GCA_044732465.1;85;4210
ND_NC2451;GCA_044732545.1;88;4101
ND_NC2452;GCA_044732555.1;92;4255
ND_NC2453;GCA_044732645.1;92;4266
ND_NC2454;GCA_044732665.1;91;4414
ND_NC2455;GCA_044732685.1;88;4183
ND_NC2456;GCA_044732705.1;89;4290
ND_NC2457;GCA_044732725.1;86;4305
ND_NC2458;GCA_044732745.1;93;4407
ND_NC2459;GCA_044732765.1;91;4359
ND_NC2460;GCA_044732785.1;93;4168
ND_NC2461;GCA_044732805.1;91;4230
ND_NC2462;GCA_044732825.1;92;4329
ND_NC2463;GCA_044732845.1;91;4435
ND_NC2464;GCA_044732865.1;92;4357
ND_NC2465;GCA_044732885.1;86;4183
ND_NC2466;GCA_044732895.1;85;4117
ND_NC2467;GCA_044732925.1;86;4323
ND_NC2468;GCA_044732945.1;86;4197
ND_NC2469;GCA_044732985.1;89;4062
ND_NC2470;GCA_044733005.1;89;4304
ND_NC2471;GCA_044733105.1;90;4252
ND_NC2472;GCA_044733125.1;90;4108
ND_NC2473;GCA_044733145.1;91;4121
ND_NC2474;GCA_044733165.1;89;4374
ND_NC2475;GCA_044733185.1;90;4166
ND_NC2476;GCA_044733205.1;89;4211
ND_NC2477;GCA_044733225.1;89;4421
ND_NC2478;GCA_044733245.1;88;4153
ND_NC2479;GCA_044733265.1;92;4335
ND_NC2480;GCA_044733285.1;89;4443
ND_NC2481;GCA_044733305.1;83;4060
ND_NC2482;GCA_044733315.1;87;4134
ND_NC2483;GCA_044733345.1;87;4425
ND_NC2484;GCA_044733365.1;91;4256
ND_NC2485;GCA_044733385.1;88;4376
ND_NC2486;GCA_044733405.1;88;4090
ND_NC2487;GCA_044733425.1;86;4281
ND_NC2488;GCA_044733445.1;92;4328
ND_NC2489;GCA_044733475.1;89;4319
ND_NC2490;GCA_044733625.1;89;4419
ND_NC2491;GCA_044733635.1;85;4103
ND_NC2492;GCA_044733655.1;85;4057
ND_NC2493;GCA_044733725.1;90;4102
ND_NC2494;GCA_044733745.1;88;4442
ND_NC2495;GCA_044733765.1;89;4108
ND_NC2496;GCA_044733785.1;92;4291
ND_NC2497;GCA_044733805.1;92;4549
ND_NC2498;GCA_044733825.1;83;4152
ND_NC2499;GCA_044733845.1;88;4175
ND_NC2500;GCA_044733865.1;88;4129
ND_NC2501;GCA_044733885.1;89;4095
ND_NC2502;GCA_044733905.1;84;4085
ND_NC2503;GCA_044733925.1;98;4279
ND_NC2504;GCA_044733965.1;90;4128
ND_NC2505;GCA_044734005.1;90;4122
ND_NC2506;GCA_044734125.1;87;4098
ND_NC2507;GCA_044734165.1;88;4264
ND_NC2508;GCA_044734185.1;88;4245
ND_NC2509;GCA_044734305.1;87;4274
ND_NC2510;GCA_044734465.1;85;4408
ND_NC2511;GCA_044734485.1;89;4445
ND_NC2512;GCA_044734725.1;86;4070
ND_NC2513;GCA_044734745.1;84;4143
ND_NC2514;GCA_044734765.1;91;4259
ND_NC2515;GCA_044734785.1;89;4046
ND_NC2516;GCA_044734795.1;85;4022
ND_NC2517;GCA_044734825.1;89;4049
ND_NC2518;GCA_044734865.1;89;4149
ND_NC2519;GCA_044734885.1;88;4417
ND_NC2520;GCA_044734905.1;89;4266
ND_NC2521;GCA_044734925.1;91;4241
ND_NC2522;GCA_044734935.1;93;4182
ND_NC2523;GCA_044734945.1;91;4220
ND_NC2524;GCA_044734985.1;90;4104
ND_NC2525;GCA_044735025.1;92;4220
ND_NC2526;GCA_044735045.1;91;4221
ND_NC2527;GCA_044735065.1;94;4210
ND_NC2528;GCA_044735085.1;91;4331
ND_NC2529;GCA_044735105.1;93;4513
ND_NC2530;GCA_044735125.1;83;4078
ND_NC2531;GCA_044735145.1;89;4224
ND_NC2532;GCA_044735165.1;93;4189
ND_NC2533;GCA_044735185.1;95;4251
ND_NC2534;GCA_044735205.1;91;4370
ND_NC2535;GCA_044735225.1;82;4376
ND_NC2536;GCA_044735245.1;89;4229
ND_NC2537;GCA_044735265.1;93;4532
ND_NC2538;GCA_044735285.1;94;4193
ND_NC2539;GCA_044735305.1;89;4308
ND_NC2540;GCA_044735365.1;92;4375
ND_NC2541;GCA_044735385.1;84;4043
ND_NC2542;GCA_044735405.1;91;4239
ND_NC2543;GCA_044735425.1;89;4054
ND_NC2544;GCA_044735445.1;84;4177
ND_NC2545;GCA_044735465.1;92;4138
ND_NC2546;GCA_044735505.1;90;4302
ND_NC2547;GCA_044735565.1;90;4227
ND_NC2548;GCA_044735585.1;94;4218
ND_NC2549;GCA_044735605.1;91;4144
ND_NC2550;GCA_044735625.1;90;4113
ND_NC2551;GCA_044735665.1;90;4328
ND_NC2552;GCA_044735685.1;85;4370
ND_NC2553;GCA_044735705.1;90;4368
ND_NC2554;GCA_044735725.1;86;4213
ND_NC2555;GCA_044735745.1;86;4061
ND_NC2556;GCA_044735765.1;90;4309
ND_NC2557;GCA_044735785.1;91;4224
ND_NC2558;GCA_044735805.1;91;4304
ND_NC2559;GCA_044735825.1;91;4170
ND_NC2560;GCA_044735845.1;91;4240
ND_NC2561;GCA_044735865.1;94;4348
ND_NC2562;GCA_044735885.1;91;4182
ND_NC2563;GCA_044735915.1;93;4299
ND_NC2564;GCA_044735945.1;94;4208
ND_NC2565;GCA_044735965.1;93;4370
ND_NC2566;GCA_044735985.1;86;4061
ND_NC2567;GCA_044736005.1;92;4237
ND_NC2568;GCA_044736025.1;91;4229
ND_NC2569;GCA_044736045.1;90;4191
ND_NC2570;GCA_044736065.1;92;4277
ND_NC2571;GCA_044736105.1;62;4368
ND_NC2572;GCA_044862785.1;91;4113
ND_NC2573;GCA_044862805.1;88;4114
ND_NC2574;GCA_044862905.1;89;4343
ND_NC2575;GCA_044862945.1;93;4274
ND_NC2576;GCA_044862965.1;94;4171
ND_NC2577;GCA_044863025.1;92;4309
ND_NC2578;GCA_044863095.1;91;4195
ND_NC2579;GCA_044895425.1;86;4015
ND_NC2580;GCA_044895565.1;87;4028
ND_NC2581;GCA_044895905.1;86;4135
ND_NC2582;GCA_044895965.1;87;4139
ND_NC2583;GCA_044895985.1;83;4123
ND_NC2584;GCA_044896005.1;84;4010
ND_NC2585;GCA_044896025.1;85;4019
ND_NC2586;GCA_044896065.1;84;4009
ND_NC2587;GCA_045095755.1;76;4439
ND_NC2588;GCA_045182505.1;89;4224
ND_NC2589;GCA_045182525.1;91;4238
ND_NC2590;GCA_045182545.1;86;4313
ND_NC2591;GCA_045182565.1;89;4311
ND_NC2592;GCA_045182625.1;91;4241
ND_NC2593;GCA_045230015.1;89;4057
ND_NC2594;GCA_045230035.1;86;4097
ND_NC2595;GCA_045230155.1;86;4269
ND_NC2596;GCA_045230175.1;82;4204
ND_NC2597;GCA_045230195.1;87;4099
ND_NC2598;GCA_045230235.1;87;4060
ND_NC2599;GCA_045230275.1;81;4145
ND_NC2600;GCA_045230315.1;83;4279
ND_NC2601;GCA_045230335.1;83;4153
ND_NC2602;GCA_045230355.1;86;4276
ND_NC2603;GCA_045230375.1;79;4104
ND_NC2604;GCA_045230395.1;82;4091
ND_NC2605;GCA_045230415.1;79;4067
ND_NC2606;GCA_045233955.1;84;4265
ND_NC2607;GCA_045233975.1;87;4290
ND_NC2608;GCA_045233995.1;79;4069
ND_NC2609;GCA_045234015.1;85;4096
ND_NC2610;GCA_045234035.1;86;4089
ND_NC2611;GCA_045234075.1;85;4094
ND_NC2612;GCA_045328695.1;80;4077
ND_NC2613;GCA_045490995.1;93;4126
ND_NC2614;GCA_045491015.1;91;4110
ND_NC2615;GCA_045491035.1;91;4127
ND_NC2616;GCA_045491055.1;91;4121
ND_NC2617;GCA_045491075.1;92;4042
ND_NC2618;GCA_045491095.1;94;4096
ND_NC2619;GCA_045491115.1;94;4049
ND_NC2620;GCA_045491135.1;94;4126
ND_NC2621;GCA_045491155.1;93;4174
ND_NC2622;GCA_045491175.1;92;4149
ND_NC2623;GCA_045491195.1;92;4230
ND_NC2624;GCA_045491215.1;95;4101
ND_NC2625;GCA_045491235.1;79;4080
ND_NC2626;GCA_045491255.1;92;4100
ND_NC2627;GCA_045491275.1;91;4081
ND_NC2628;GCA_045491295.1;94;4165
ND_NC2629;GCA_045491315.1;96;4105
ND_NC2630;GCA_045491335.1;92;4162
ND_NC2631;GCA_045491355.1;93;4132
ND_NC2632;GCA_045491375.1;94;4183
ND_NC2633;GCA_045547315.1;82;4146
ND_NC2634;GCA_045558575.1;82;4211
ND_NC2635;GCA_045792445.1;86;4205
ND_NC2636;GCA_045792485.1;95;4218
ND_NC2637;GCA_045792505.1;92;4235
ND_NC2638;GCA_045792525.1;95;4252
ND_NC2639;GCA_045792545.1;83;4080
ND_NC2640;GCA_045792585.1;87;3916
ND_NC2641;GCA_045793315.1;87;4108
ND_NC2642;GCA_045793345.1;91;4256
ND_NC2643;GCA_045793355.1;96;4295
ND_NC2644;GCA_045793365.1;88;4334
ND_NC2645;GCA_045969175.1;92;4109
ND_NC2646;GCA_045970295.1;93;4039
ND_NC2647;GCA_045979155.1;83;4104
ND_NC2648;GCA_045979195.1;82;4086
ND_NC2649;GCA_045979215.1;83;4087
ND_NC2650;GCA_045981195.1;83;4084
ND_NC2651;GCA_045985185.1;81;4057
ND_NC2652;GCA_045985195.1;87;4081
ND_NC2653;GCA_045986845.1;84;4127
ND_NC2654;GCA_046446745.1;91;4163
ND_NC2655;GCA_046446755.1;90;4050
ND_NC2656;GCA_046446825.1;87;3974
ND_NC2657;GCA_046446905.1;85;3996
ND_NC2658;GCA_046446925.1;90;4158
ND_NC2659;GCA_046446945.1;91;4106
ND_NC2660;GCA_046446965.1;90;4251
ND_NC2661;GCA_046446985.1;93;4252
ND_NC2662;GCA_046447025.1;90;3970
ND_NC2663;GCA_046447155.1;91;4299
ND_NC2664;GCA_046447165.1;89;4219
ND_NC2665;GCA_046447265.1;89;4262
ND_NC2666;GCA_046457595.1;91;4083
ND_NC2667;GCA_046457635.1;82;4285
ND_NC2668;GCA_046457655.1;84;4301
ND_NC2669;GCA_046457835.1;92;4093
ND_NC2670;GCA_046459455.1;82;4247
ND_NC2671;GCA_046459495.1;94;4123
ND_NC2672;GCA_046461135.1;89;4358
ND_NC2673;GCA_046461345.1;91;4148
ND_NC2674;GCA_046461395.1;89;4111
ND_NC2675;GCA_046565625.1;87;4177
ND_NC2676;GCA_046576965.1;86;4432
ND_NC2677;GCA_046576995.1;91;4195
ND_NC2678;GCA_046630635.1;83;4381
ND_NC2679;GCA_046689285.1;81;4115
ND_NC2680;GCA_046736735.1;84;4351
ND_NC2681;GCA_047306225.1;84;4034
ND_NC2682;GCA_047306305.1;82;4309
ND_NC2683;GCA_047306465.1;89;4326
ND_NC2684;GCA_047337645.1;86;4230
ND_NC2685;GCA_047337685.1;90;4040
ND_NC2686;GCA_047337825.1;84;4160
ND_NC2687;GCA_047337845.1;88;4145
ND_NC2688;GCA_047338065.1;92;4344
ND_NC2689;GCA_047338085.1;89;4323
ND_NC2690;GCA_047338105.1;87;4346
ND_NC2691;GCA_047338185.1;61;4212
ND_NC2692;GCA_937945085.1;;
ND_NC2693;GCA_958439025.1;;
ND_NC2694;GCA_963528655.1;;
ND_NC2695;GCF_000409265.1;79;3975
ND_NC2696;GCF_000319615.1;87;3526
ND_NC2697;GCF_000316155.1;70;3690
ND_NC2698;GCF_000319595.1;72;3427
ND_NC2699;GCF_000467775.2;88;4329
ND_NC2700;GCF_000017665.1;114;4139
ND_NC2701;GCF_000409245.1;119;3687
ND_NC2702;GCF_000214745.1;97;3277
ND_NC2703;GCF_000263215.1;110;3865
ND_NC2704;GCF_000409405.1;105;3879
ND_NC2705;GCF_000409385.1;115;4039
ND_NC2706;GCF_000684935.1;83;4221
ND_NC2707;GCF_000463095.2;94;4235
ND_NC2708;GCF_000339015.1;114;4129
ND_NC2709;GCF_011066255.1;90;4457
ND_NC2710;GCF_963888145.1;90;4451
ND_NC2711;GCF_011066275.1;88;4462
ND_NC2712;GCF_963888365.1;88;4452
ND_NC2713;GCF_011605905.1;98;4087
ND_NC2714;GCF_011605445.1;96;4099
ND_NC2715;GCF_008932145.1;118;4134
ND_NC2716;GCF_041222865.1;116;4137
ND_NC2717;GCF_001922905.1;86;4261
ND_NC2718;GCF_001999505.1;85;4268
ND_NC2719;GCF_002421105.1;77;4103
ND_NC2720;GCF_002976535.1;115;4281
ND_NC2721;GCF_002976545.1;149;4112
ND_NC2722;GCF_002976555.1;93;4083
ND_NC2723;GCF_007845795.1;95;4254
ND_NC2724;GCF_009938345.1;85;4069
ND_NC2725;GCF_009938395.1;67;4095
ND_NC2726;GCF_011605535.1;97;4083
ND_NC2727;GCF_011605625.1;96;4084
ND_NC2728;GCF_011605685.1;97;4082
ND_NC2729;GCF_013363985.1;83;4137
ND_NC2730;GCF_030012035.1;90;4125
ND_NC2731;GCF_030012055.1;92;4143
ND_NC2732;GCF_030012105.1;85;4229
ND_NC2733;GCF_030012185.1;84;4164
ND_NC2734;GCF_030025495.1;85;4057
ND_NC2735;GCF_030025545.1;90;4186
ND_NC2736;GCF_030025585.1;91;4044
ND_NC2737;GCF_030026565.1;93;4141
ND_NC2738;GCF_030126305.1;91;4247
ND_NC2739;GCF_030126325.1;90;4245
ND_NC2740;GCF_030126465.1;87;4292
ND_NC2741;GCF_030126485.1;98;4339
ND_NC2742;GCF_030126525.1;88;4121
ND_NC2743;GCF_030126545.1;100;4299
ND_NC2744;GCF_030126565.1;79;4200
ND_NC2745;GCF_030126595.1;86;4267
ND_NC2746;GCF_031982065.1;68;4151
ND_NC2747;GCF_032099685.1;74;4190
ND_NC2748;GCF_032107045.1;56;4267
ND_NC2749;GCA_002321135.1;;
ND_NC2750;GCA_016077285.2;90;4170
ND_NC2751;GCA_016086315.1;86;4176
ND_NC2752;GCA_016086895.1;86;4214
ND_NC2753;GCA_028106955.1;100;4435
ND_NC2754;GCA_028110265.1;93;4433
ND_NC2755;GCA_028573575.1;88;4123
ND_NC2756;GCA_028573635.1;90;4010
ND_NC2757;GCA_028573645.1;89;4118
ND_NC2758;GCA_028573735.1;90;4218
ND_NC2759;GCA_028574075.1;88;4526
ND_NC2760;GCA_028574095.1;91;4213
ND_NC2761;GCA_028574975.1;94;4222
ND_NC2762;GCA_028626565.1;79;4188
ND_NC2763;GCA_028636965.1;85;4304
ND_NC2764;GCA_030126125.1;81;4299
ND_NC2765;GCA_030721045.1;86;4525
ND_NC2766;GCA_030735955.1;95;4222
ND_NC2767;GCA_030736235.1;84;4040
ND_NC2768;GCA_030736255.1;88;4118
ND_NC2769;GCA_030736275.1;90;4330
ND_NC2770;GCA_030736375.1;85;4027
ND_NC2771;GCA_030736475.1;85;4035
ND_NC2772;GCA_031976945.1;;
ND_NC2773;GCA_031989285.1;;
ND_NC2774;GCA_032017195.1;;
ND_NC2775;GCA_032855065.1;83;4258
ND_NC2776;GCA_032855145.1;89;4274
ND_NC2777;GCA_032855205.1;82;4230
ND_NC2778;GCA_032855305.1;87;4244
ND_NC2779;GCA_032855525.1;88;4221
ND_NC2780;GCA_032855585.1;85;4107
ND_NC2781;GCA_032855885.1;80;4225
ND_NC2782;GCA_032856025.1;83;4256
ND_NC2783;GCA_032856105.1;81;4193
ND_NC2784;GCA_032856125.1;87;4275
ND_NC2785;GCA_032856165.1;82;4270
ND_NC2786;GCA_032856185.1;83;4251
ND_NC2787;GCA_032856225.1;86;4142
ND_NC2788;GCA_032856265.1;83;4290
ND_NC2789;GCA_033445345.2;77;4405
ND_NC2790;GCA_033445385.2;82;4407
ND_NC2791;GCA_033445405.1;89;4419
ND_NC2792;GCA_033445425.2;86;4402
ND_NC2793;GCA_033445665.2;70;4389
ND_NC2794;GCA_033897285.1;89;4230
ND_NC2795;GCA_033897385.1;86;4161
ND_NC2796;GCA_033940225.1;91;4171
ND_NC2797;GCA_033940265.1;93;4200
ND_NC2798;GCA_033940465.1;83;4044
ND_NC2799;GCA_033940565.1;91;4198
ND_NC2800;GCA_033941545.1;84;4273
ND_NC2801;GCA_033942605.1;93;4248
ND_NC2802;GCA_033943045.1;87;4164
ND_NC2803;GCA_033943085.1;86;4280
ND_NC2804;GCA_033943265.1;97;4188
ND_NC2805;GCA_033943745.1;93;4121
ND_NC2806;GCA_033943825.1;89;4016
ND_NC2807;GCA_033943985.1;88;4147
ND_NC2808;GCA_033944045.1;86;4272
ND_NC2809;GCA_033944585.1;87;4061
ND_NC2810;GCA_033944705.1;92;4099
ND_NC2811;GCA_033944905.1;90;4118
ND_NC2812;GCA_033945025.1;86;4246
ND_NC2813;GCA_033945445.1;89;4135
ND_NC2814;GCA_033946715.1;91;4193
ND_NC2815;GCA_033947285.1;89;4284
ND_NC2816;GCA_033960405.1;89;4058
ND_NC2817;GCA_033960445.1;88;4142
ND_NC2818;GCA_033960585.1;86;4254
ND_NC2819;GCA_033960745.1;77;4208
ND_NC2820;GCA_033961185.1;94;4234
ND_NC2821;GCA_033961245.1;87;4112
ND_NC2822;GCA_033961305.1;91;4181
ND_NC2823;GCA_033962755.1;88;4128
ND_NC2824;GCA_033963025.1;92;4174
ND_NC2825;GCA_033963365.1;81;4246
ND_NC2826;GCA_033972165.1;81;4159
ND_NC2827;GCA_033972525.1;84;4268
ND_NC2828;GCA_033972905.1;86;4316
ND_NC2829;GCA_034328345.1;93;4181
ND_NC2830;GCA_034408625.1;93;4361
ND_NC2831;GCA_035867865.1;82;4119
ND_NC2832;GCA_044703065.1;90;4216
ND_NC2833;GCA_044703125.1;87;4149
ND_NC2834;GCA_044703265.1;88;4179
ND_NC2835;GCA_044703285.1;85;4183
ND_NC2836;GCA_044703305.1;91;4244
ND_NC2837;GCA_044703325.1;85;4107
ND_NC2838;GCA_044703345.1;87;4162
ND_NC2839;GCA_044709855.1;90;4125
ND_NC2840;GCA_044710435.1;95;4323
ND_NC2841;GCA_044710535.1;88;4418
ND_NC2842;GCA_044710715.1;94;4349
ND_NC2843;GCA_044711075.1;88;4117
ND_NC2844;GCA_044711195.1;84;4201
ND_NC2845;GCA_044711615.1;90;4473
ND_NC2846;GCA_044734025.1;87;4467
ND_NC2847;GCA_044734105.1;86;4459
ND_NC2848;GCA_044734145.1;86;4452
ND_NC2849;GCA_044734245.1;87;4307
ND_NC2850;GCA_044734285.1;87;4202
ND_NC2851;GCA_044734315.1;88;4411
ND_NC2852;GCA_044734385.1;87;4204
ND_NC2853;GCA_044734405.1;90;4099
ND_NC2854;GCA_044734425.1;87;4199
ND_NC2855;GCA_044735005.1;89;4058
ND_NC2856;GCA_044735325.1;89;4215
ND_NC2857;GCA_044735345.1;89;4175
ND_NC2858;GCA_044735645.1;81;4556
ND_NC2859;GCA_044735905.1;92;4414
ND_NC2860;GCA_044862825.1;90;4257
ND_NC2861;GCA_044863045.1;81;4417
ND_NC2862;GCA_044863085.1;89;4152
ND_NC2863;GCA_045792455.1;85;4303
ND_NC2864;GCA_045792555.1;82;4451
ND_NC2865;GCA_045974365.1;89;4303
ND_NC2866;GCA_046446725.1;85;4064
ND_NC2867;GCA_046446785.1;84;4117
ND_NC2868;GCA_046446805.1;83;4053
ND_NC2869;GCA_046446885.1;85;4489
ND_NC2870;GCA_046447245.1;87;4226
ND_NC2871;GCA_046447425.1;94;4224
ND_NC2872;GCA_047337665.1;84;4309
ND_NC2873;GCA_047337705.1;89;4146
ND_NC2874;GCA_047337725.1;92;4263
ND_NC2875;GCA_047337765.1;92;4201
ND_NC2876;GCA_047337885.1;84;4389
ND_NC2877;GCA_047337925.1;78;4261
ND_NC2878;GCA_047338005.1;86;4298
ND_NC2879;GCA_047338025.1;83;4103
ND_NC2880;GCA_047338145.1;83;4055
ND_NC2881;GCA_047338285.1;86;4472
ND_NC2882;GCA_047338345.1;89;4391
ND_NC2883;GCF_000319515.1;79;3350
ND_NC2884;GCF_000027065.2;118;4211
ND_NC2885;GCF_030026745.1;90;3999
ND_NC2886;GCF_041222855.1;112;4033
ND_NC2887;GCA_033940045.1;86;4059
ND_NC2888;GCA_033941205.1;95;3957
ND_NC2889;GCA_033962495.1;89;4060
ND_NC2890;GCA_033972325.1;93;4040
ND_NC2891;GCF_001277175.1;112;4052
ND_NC2892;GCF_000319325.1;82;3137
ND_NC2893;GCF_000409325.1;84;3994
ND_NC2894;GCF_900447325.1;112;4054
